NODE_ID,NODE_TYPE,NODE_NAME,DOMAIN,SOURCE_TABLE,SOURCE_ID,PROPERTIES
1,campaign,Spring Fashion Launch 2024,marketing,CAMPAIGNS,1,"{""type"":""Product Launch"",""channel"":""social"",""budget"":75000,""audience"":""Women 25-45 Fashion Enthusiasts""}"
2,campaign,Q1 Email Nurture Series,marketing,CAMPAIGNS,2,"{""type"":""Lead Nurturing"",""channel"":""email"",""budget"":25000,""audience"":""B2B Decision Makers""}"
3,campaign,Summer Sale Extravaganza,marketing,CAMPAIGNS,3,"{""type"":""Promotional"",""channel"":""display"",""budget"":120000,""audience"":""All Customers Deal Seekers""}"
4,campaign,Brand Awareness - Tech Sector,marketing,CAMPAIGNS,4,"{""type"":""Brand Building"",""channel"":""search"",""budget"":200000,""audience"":""Tech Professionals 30-55""}"
5,campaign,Black Friday Mega Sale,marketing,CAMPAIGNS,5,"{""type"":""Seasonal"",""channel"":""social"",""budget"":300000,""audience"":""All Segments""}"
6,campaign,New Product Teaser Campaign,marketing,CAMPAIGNS,6,"{""type"":""Product Launch"",""channel"":""social"",""budget"":45000,""audience"":""Early Adopters Tech Enthusiasts""}"
7,campaign,Customer Retention Q2,marketing,CAMPAIGNS,7,"{""type"":""Retention"",""channel"":""email"",""budget"":60000,""audience"":""Existing Customers""}"
8,campaign,Holiday Gift Guide 2024,marketing,CAMPAIGNS,8,"{""type"":""Seasonal"",""channel"":""display"",""budget"":150000,""audience"":""Gift Shoppers All Ages""}"
9,campaign,LinkedIn B2B Lead Gen,marketing,CAMPAIGNS,9,"{""type"":""Lead Generation"",""channel"":""social"",""budget"":85000,""audience"":""Enterprise Decision Makers""}"
10,campaign,Back to School Campaign,marketing,CAMPAIGNS,10,"{""type"":""Seasonal"",""channel"":""search"",""budget"":95000,""audience"":""Parents Students 18-24""}"
11,campaign,Influencer Partnership Series,marketing,CAMPAIGNS,11,"{""type"":""Brand Building"",""channel"":""social"",""budget"":110000,""audience"":""Millennials Gen Z""}"
12,campaign,Re-engagement Email Blast,marketing,CAMPAIGNS,12,"{""type"":""Retention"",""channel"":""email"",""budget"":15000,""audience"":""Inactive Users 90+ days""}"
13,campaign,Premium Membership Launch,marketing,CAMPAIGNS,13,"{""type"":""Product Launch"",""channel"":""email"",""budget"":180000,""audience"":""High-Value Customers""}"
14,campaign,Valentine Day Special,marketing,CAMPAIGNS,14,"{""type"":""Seasonal"",""channel"":""display"",""budget"":55000,""audience"":""Couples 25-50""}"
15,campaign,Mobile App Download Campaign,marketing,CAMPAIGNS,15,"{""type"":""App Promotion"",""channel"":""search"",""budget"":70000,""audience"":""Mobile-First Users""}"
16,campaign,Sustainability Initiative Awareness,marketing,CAMPAIGNS,16,"{""type"":""Brand Building"",""channel"":""social"",""budget"":90000,""audience"":""Eco-Conscious Consumers""}"
17,campaign,Flash Sale - 48 Hours,marketing,CAMPAIGNS,17,"{""type"":""Promotional"",""channel"":""email"",""budget"":30000,""audience"":""Price-Sensitive Shoppers""}"
18,campaign,Year-End Clearance,marketing,CAMPAIGNS,18,"{""type"":""Promotional"",""channel"":""display"",""budget"":135000,""audience"":""Bargain Hunters""}"
19,campaign,Webinar Series Promotion,marketing,CAMPAIGNS,19,"{""type"":""Lead Generation"",""channel"":""email"",""budget"":40000,""audience"":""B2B Professionals""}"
20,campaign,Customer Testimonials Campaign,marketing,CAMPAIGNS,20,"{""type"":""Social Proof"",""channel"":""social"",""budget"":50000,""audience"":""Prospective Customers""}"
21,campaign,Cyber Monday Deals,marketing,CAMPAIGNS,21,"{""type"":""Seasonal"",""channel"":""search"",""budget"":250000,""audience"":""Online Shoppers""}"
22,campaign,Referral Program Launch,marketing,CAMPAIGNS,22,"{""type"":""Customer Acquisition"",""channel"":""email"",""budget"":65000,""audience"":""Existing Happy Customers""}"
23,campaign,New Market Expansion - West Coast,marketing,CAMPAIGNS,23,"{""type"":""Geographic Expansion"",""channel"":""display"",""budget"":175000,""audience"":""West Coast Residents""}"
24,campaign,Product Demo Video Series,marketing,CAMPAIGNS,24,"{""type"":""Educational"",""channel"":""social"",""budget"":55000,""audience"":""Consideration Stage Leads""}"
25,campaign,Anniversary Sale - 5 Years,marketing,CAMPAIGNS,25,"{""type"":""Promotional"",""channel"":""email"",""budget"":100000,""audience"":""Loyal Customers""}"
26,account,Apex Dynamics Inc,sales,ACCOUNTS,1,"{""industry"":""Technology"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""Northeast""}"
27,account,Meridian Health Systems,sales,ACCOUNTS,2,"{""industry"":""Healthcare"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""Southeast""}"
28,account,Titan Financial Group,sales,ACCOUNTS,3,"{""industry"":""Financial Services"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""Northeast""}"
29,account,Forge Manufacturing Co,sales,ACCOUNTS,4,"{""industry"":""Manufacturing"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""Midwest""}"
30,account,Summit Retail Holdings,sales,ACCOUNTS,5,"{""industry"":""Retail"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""West""}"
31,account,Brightpath Education,sales,ACCOUNTS,6,"{""industry"":""Education"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""Southeast""}"
32,account,NovaTech Solutions,sales,ACCOUNTS,7,"{""industry"":""Technology"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""West""}"
33,account,Pinnacle Healthcare Partners,sales,ACCOUNTS,8,"{""industry"":""Healthcare"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""Northeast""}"
34,account,Ironclad Industries,sales,ACCOUNTS,9,"{""industry"":""Manufacturing"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""Midwest""}"
35,account,Redwood Capital Advisors,sales,ACCOUNTS,10,"{""industry"":""Financial Services"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""West""}"
36,account,Vanguard Retail Group,sales,ACCOUNTS,11,"{""industry"":""Retail"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""Southeast""}"
37,account,Horizon Learning Corp,sales,ACCOUNTS,12,"{""industry"":""Education"",""size"":""Small"",""tier"":""Develop"",""region"":""Northeast""}"
38,account,CloudSphere Technologies,sales,ACCOUNTS,13,"{""industry"":""Technology"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""West""}"
39,account,Pacific Health Network,sales,ACCOUNTS,14,"{""industry"":""Healthcare"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""West""}"
40,account,Atlas Financial Services,sales,ACCOUNTS,15,"{""industry"":""Financial Services"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""Northeast""}"
41,account,Precision Parts Manufacturing,sales,ACCOUNTS,16,"{""industry"":""Manufacturing"",""size"":""Small"",""tier"":""Develop"",""region"":""Midwest""}"
42,account,Urban Style Retail,sales,ACCOUNTS,17,"{""industry"":""Retail"",""size"":""Small"",""tier"":""Develop"",""region"":""Southwest""}"
43,account,Catalina University Systems,sales,ACCOUNTS,18,"{""industry"":""Education"",""size"":""Enterprise"",""tier"":""Growth"",""region"":""Southeast""}"
44,account,DataStream Analytics,sales,ACCOUNTS,19,"{""industry"":""Technology"",""size"":""Small"",""tier"":""Develop"",""region"":""Northeast""}"
45,account,LifeBridge Medical Group,sales,ACCOUNTS,20,"{""industry"":""Healthcare"",""size"":""Small"",""tier"":""Growth"",""region"":""Midwest""}"
46,account,Sterling Wealth Management,sales,ACCOUNTS,21,"{""industry"":""Financial Services"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""Southeast""}"
47,account,Cornerstone Manufacturing,sales,ACCOUNTS,22,"{""industry"":""Manufacturing"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""Northeast""}"
48,account,Evergreen Market Co,sales,ACCOUNTS,23,"{""industry"":""Retail"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""Midwest""}"
49,account,Nexus Tech Innovations,sales,ACCOUNTS,24,"{""industry"":""Technology"",""size"":""Mid-Market"",""tier"":""Growth"",""region"":""Southwest""}"
50,account,Valley Health Clinic,sales,ACCOUNTS,25,"{""industry"":""Healthcare"",""size"":""Small"",""tier"":""Develop"",""region"":""Southwest""}"
51,account,Keystone Bank Corp,sales,ACCOUNTS,26,"{""industry"":""Financial Services"",""size"":""Small"",""tier"":""Develop"",""region"":""Midwest""}"
52,account,Heritage Craft Manufacturing,sales,ACCOUNTS,27,"{""industry"":""Manufacturing"",""size"":""Small"",""tier"":""Develop"",""region"":""Southeast""}"
53,account,BookWise EdTech,sales,ACCOUNTS,28,"{""industry"":""Education"",""size"":""Small"",""tier"":""Develop"",""region"":""West""}"
54,account,Omni Retail Solutions,sales,ACCOUNTS,29,"{""industry"":""Retail"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""Northeast""}"
55,account,Quantum Computing Labs,sales,ACCOUNTS,30,"{""industry"":""Technology"",""size"":""Enterprise"",""tier"":""Strategic"",""region"":""West""}"
56,channel,email,shared,,0,"{""description"":""Email marketing and outreach channel""}"
57,channel,social,shared,,0,"{""description"":""Social media marketing channel including LinkedIn Facebook Instagram""}"
58,channel,search,shared,,0,"{""description"":""Search engine marketing and SEO channel""}"
59,channel,display,shared,,0,"{""description"":""Display advertising and programmatic channel""}"
60,audience_segment,B2B Decision Makers,marketing,,0,"{""description"":""Senior business decision makers in enterprise organizations""}"
61,audience_segment,Tech Professionals 30-55,marketing,,0,"{""description"":""Technology professionals aged 30-55""}"
62,audience_segment,Enterprise Decision Makers,marketing,,0,"{""description"":""C-suite and VP-level leaders at enterprise companies""}"
63,audience_segment,B2B Professionals,marketing,,0,"{""description"":""Business professionals in B2B industries""}"
64,audience_segment,Prospective Customers,marketing,,0,"{""description"":""Potential new customers evaluating products""}"
65,audience_segment,Existing Customers,marketing,,0,"{""description"":""Current active customers for retention and upsell""}"
66,audience_segment,West Coast Residents,marketing,,0,"{""description"":""Geographic segment targeting West Coast US""}"
67,industry,Technology,shared,,0,"{""account_count"":6,""description"":""Software hardware and IT services companies""}"
68,industry,Healthcare,shared,,0,"{""account_count"":5,""description"":""Hospitals clinics health systems and medical groups""}"
69,industry,Financial Services,shared,,0,"{""account_count"":5,""description"":""Banks wealth management insurance and financial technology""}"
