EDGE_ID,SOURCE_NODE_ID,TARGET_NODE_ID,RELATIONSHIP_TYPE,WEIGHT,PROPERTIES
1,26,4,TARGETED_BY,0.92,"{""reason"":""Tech Professionals 30-55 matches Technology Enterprise account""}"
2,32,4,TARGETED_BY,0.88,"{""reason"":""Tech Professionals 30-55 matches Technology Mid-Market account""}"
3,38,4,TARGETED_BY,0.90,"{""reason"":""Tech Professionals 30-55 matches Technology Enterprise account""}"
4,44,4,TARGETED_BY,0.82,"{""reason"":""Tech Professionals 30-55 matches Technology Small account""}"
5,49,4,TARGETED_BY,0.86,"{""reason"":""Tech Professionals 30-55 matches Technology Mid-Market account""}"
6,55,4,TARGETED_BY,0.91,"{""reason"":""Tech Professionals 30-55 matches Technology Enterprise account""}"
7,26,9,TARGETED_BY,0.95,"{""reason"":""Enterprise Decision Makers matches Strategic Technology account""}"
8,28,9,TARGETED_BY,0.94,"{""reason"":""Enterprise Decision Makers matches Strategic Financial Services account""}"
9,30,9,TARGETED_BY,0.93,"{""reason"":""Enterprise Decision Makers matches Strategic Retail account""}"
10,33,9,TARGETED_BY,0.92,"{""reason"":""Enterprise Decision Makers matches Strategic Healthcare account""}"
11,34,9,TARGETED_BY,0.91,"{""reason"":""Enterprise Decision Makers matches Strategic Manufacturing account""}"
12,38,9,TARGETED_BY,0.95,"{""reason"":""Enterprise Decision Makers matches Strategic Technology account""}"
13,40,9,TARGETED_BY,0.94,"{""reason"":""Enterprise Decision Makers matches Strategic Financial Services account""}"
14,54,9,TARGETED_BY,0.93,"{""reason"":""Enterprise Decision Makers matches Strategic Retail account""}"
15,55,9,TARGETED_BY,0.94,"{""reason"":""Enterprise Decision Makers matches Strategic Technology account""}"
16,27,2,TARGETED_BY,0.85,"{""reason"":""B2B Decision Makers matches Healthcare Enterprise account""}"
17,28,2,TARGETED_BY,0.90,"{""reason"":""B2B Decision Makers matches Financial Services Enterprise account""}"
18,29,2,TARGETED_BY,0.78,"{""reason"":""B2B Decision Makers matches Manufacturing Mid-Market account""}"
