NOTE_ID,DEAL_ID,NOTE_DATE,NOTE_TYPE,AUTHOR,NOTE_CONTENT,NEXT_STEPS,COMPETITIVE_INTEL
1,1,2024-01-25,Discovery Call,rachel.sales,"Spoke with VP of Engineering about their data analytics modernization needs. They expressed strong interest in our Platform capabilities. Currently evaluating 3 vendors including Oracle Cloud. Budget has been pre-approved by CTO. Apex Dynamics wants to consolidate their fragmented data infrastructure into a single enterprise platform.","Send updated proposal with revised pricing by next week. Schedule technical deep-dive with their engineering team. Follow up on reference request for Technology customers.","Oracle Cloud submitted a proposal at approximately 320k which is higher than our offering. Their weakness is complex pricing model. Our advantage is ease of use."
2,1,2024-03-10,Technical Review,rachel.sales,"Technical deep-dive with VP of Engineering's team. Reviewed architecture for cloud migration. They need SSO integration which is on our roadmap for Q2 2025. Key concern is migrating 3 years of historical data from their on-premise data warehouse.","Coordinate security review and compliance documentation. Set up data residency discussion with our platform team. Provide SOC 2 Type II report.","No active competitors identified at this stage. Customer found us through our webinar and is primarily evaluating build vs buy. Key selling point will be time-to-value and time-to-value."
3,1,2024-04-02,Negotiation Update,rachel.sales,"Pricing review meeting. VP of Engineering compared our proposal against Oracle Cloud's offer which came in roughly comparable. We differentiate on native AI/ML integration. Need to sharpen pricing on compute module. They want a 3-year commitment with annual price lock.","Revise pricing to include volume discount for 3-year commitment. Get sign-off from deal desk on custom terms. Send updated timeline for implementation.",""
4,2,2024-04-15,Demo Debrief,rachel.sales,"Demo session went well. Director of IT was particularly impressed with the automated reporting capabilities. Their main objection is around data migration complexity. Asked for customer references in Technology vertical. They want to connect their existing REST APIs.","Prepare ROI analysis specific to their Engineering department. Coordinate demo of automated reporting with solution engineering. Send case study from similar Technology deployment.",""
5,4,2024-02-10,Discovery Call,david.hunter,"Spoke with Chief Data Officer about their clinical analytics requirements. Meridian Health is consolidating data from 12 hospital locations. They expressed strong interest in our Analytics capabilities. Currently evaluating 2 vendors including Epic Systems.","Send updated proposal with revised pricing by Monday. Schedule technical deep-dive with their engineering team. Follow up on reference request for Healthcare customers.","Epic Systems has been incumbent for 5 years but the customer is frustrated with limited scalability. This is our opportunity to demonstrate performance at scale."
6,4,2024-04-05,Executive Meeting,david.hunter,"Executive briefing with CTO and their CFO. Presented ROI analysis showing 35% improvement potential. They want to pilot with Operations department first before enterprise rollout. Key concern is HIPAA compliance and data residency requirements.","Draft MSA and SOW for legal review. Set up sandbox environment for their POC team. Schedule executive alignment call with our VP of Sales.","Epic Systems submitted a proposal at approximately 450k which is higher than our offering. Their weakness is outdated UI. Our advantage is native AI/ML integration."
7,4,2024-05-15,Proposal Review,david.hunter,"Follow-up call with CTO. Discussed technical requirements for data governance. Their team is concerned about integration timeline with existing on-premise data warehouse. HIPAA BAA has been signed. Moving to final contract review.","Coordinate security review and compliance documentation. Set up data residency discussion with our platform team. Provide SOC 2 Type II report.",""
8,5,2024-05-20,Follow-up Call,david.hunter,"Quarterly review with VP of Operations. Usage has grown 40% since last quarter. They want to expand to Supply Chain department. Discussed upsell to Platform tier. Very positive sentiment overall. Data warehouse migration from legacy system is 80% complete.","Share product roadmap under NDA. Connect their team with our customer success lead. Prepare migration plan from Epic Systems.","No active competitors identified at this stage. Customer found us through peer recommendation and is primarily evaluating build vs buy. Key selling point will be scalability and time-to-value."
9,5,2024-07-10,Technical Review,david.hunter,"Technical deep-dive with Head of Data's engineering team. Reviewed architecture for real-time analytics. They need custom data connectors which is on our roadmap for Q3 2025. Integration with their EHR system is the critical path item.","Prepare ROI analysis specific to their Operations department. Coordinate demo of data pipeline orchestration with solution engineering. Send case study from similar Healthcare deployment.",""
10,7,2024-01-08,Discovery Call,rachel.sales,"Spoke with CFO about their risk analytics requirements. Titan Financial needs real-time risk scoring across their trading operations. Currently evaluating 3 vendors including Bloomberg. Budget of 600k has been pre-approved by the Board. Timeline is aggressive - want production by Q2.","Send updated proposal with revised pricing by Friday. Schedule technical deep-dive with their engineering team. Follow up on reference request for Financial Services customers.","Bloomberg submitted a proposal at approximately 620k which is higher than our offering. Their weakness is lack of cloud-native architecture. Our advantage is total cost of ownership."
11,7,2024-02-20,Executive Meeting,rachel.sales,"Executive briefing with CTO and their Chief Risk Officer. Presented ROI analysis showing 42% improvement potential. They want to pilot with Trading Operations first. Compliance requirements are significant - SOX and SEC reporting capabilities are mandatory.","Draft MSA and SOW for legal review. Set up sandbox environment for their POC team. Schedule executive alignment call with our VP of Sales.","Bloomberg was eliminated in earlier rounds due to limited scalability. Down to us and Refinitiv. Our performance at scale is the key differentiator. Decision expected within 3 weeks."
12,7,2024-03-15,Negotiation Update,rachel.sales,"Pricing review meeting. CFO compared our proposal against Refinitiv's offer which came in 15% lower. We differentiate on security and governance. Agreed to include premium support in the package to close the gap. Contract expected to be signed by month end.","Revise pricing to include volume discount for 2-year commitment. Get sign-off from deal desk on custom terms. Send updated timeline for implementation.",""
13,9,2024-10-10,Proposal Review,rachel.sales,"Follow-up call with VP of Engineering about Cloud Migration Phase 2 scope. Discussed technical requirements for AI/ML implementation. Their team wants to migrate remaining on-premise workloads to our platform. Estimated 18-month migration timeline. Budget approval expected in Q1 2025.","Follow up with VP of Engineering after internal budget review. Provide competitive comparison document. Schedule pilot kickoff planning session.","FactSet submitted a proposal at approximately 700k which is comparable than our offering. Their weakness is integration challenges. Our advantage is data sharing capabilities."
14,10,2024-03-05,Discovery Call,carlos.rivera,"Spoke with VP of Operations about IoT data analytics for their manufacturing floor. Forge Manufacturing has 200+ sensors generating data. They need real-time dashboards for production monitoring. Currently evaluating 2 vendors including Siemens.","Prepare ROI analysis specific to their Operations department. Coordinate demo of real-time dashboards with solution engineering. Send case study from similar Manufacturing deployment.","Siemens has been incumbent for 3 years but the customer is frustrated with slow performance on large datasets. This is our opportunity to demonstrate ease of use."
15,10,2024-05-10,Demo Debrief,carlos.rivera,"Demo session went well. Head of Digital Transformation was particularly impressed with the real-time dashboards capabilities. Their main objection is around integration with legacy systems. They want to connect their SCADA systems and existing ERP.","Share product roadmap under NDA. Connect their team with our customer success lead. Prepare migration plan from Siemens.",""
16,12,2024-01-20,Discovery Call,sarah.connors,"Spoke with Chief Data Officer about their omnichannel analytics requirements. Summit Retail wants to unify data from 450+ stores and their e-commerce platform. Currently evaluating 3 vendors including Salesforce Commerce. Budget has been pre-approved by CFO.","Send updated proposal with revised pricing by next week. Schedule technical deep-dive with their engineering team. Follow up on reference request for Retail customers.","Salesforce Commerce submitted a proposal at approximately 400k which is higher than our offering. Their weakness is complex pricing model. Our advantage is scalability."
17,12,2024-03-05,Technical Review,sarah.connors,"Technical deep-dive with Director of Analytics engineering team. Reviewed architecture for real-time analytics across all store locations. They need advanced RBAC for regional manager access controls. Data volume is approximately 2TB daily.","Coordinate security review and compliance documentation. Set up data residency discussion with our platform team. Provide SOC 2 Type II report.",""
18,12,2024-04-08,Negotiation Update,sarah.connors,"Negotiation call with CFO and procurement. They are pushing for a 20% discount from list price. Willing to sign a 3-year deal if we include training credits. Also want dedicated customer success manager for first 6 months.","Revise pricing to include volume discount for 3-year commitment. Get sign-off from deal desk on custom terms. Send updated timeline for implementation.","Oracle Retail was eliminated in earlier rounds due to outdated UI. Down to us and Salesforce Commerce. Our total cost of ownership is the key differentiator. Decision expected within 2 weeks."
19,13,2024-05-20,Follow-up Call,sarah.connors,"Quarterly review with VP of Sales. Customer 360 project is progressing well. They want to integrate loyalty program data and expand to Marketing department. Discussed upsell to AI Services tier for customer churn prediction.","Prepare ROI analysis specific to their Marketing department. Coordinate demo of predictive analytics with solution engineering. Send case study from similar Retail deployment.",""
20,13,2024-07-15,Executive Meeting,sarah.connors,"Executive briefing with CTO on Customer 360 Platform expansion. Presented ROI analysis showing 28% improvement in customer retention. They want to include real-time personalization engine. Budget increase approved by Board.","Draft MSA and SOW for legal review. Set up sandbox environment for their POC team. Schedule executive alignment call with our VP of Sales.","Shopify recently released their Analytics Cloud which addresses self-service BI. However our data sharing capabilities and security and governance keep us well-positioned."
21,15,2024-03-01,Discovery Call,david.hunter,"Spoke with Director of Analytics about their LMS analytics requirements. Brightpath wants to track student engagement and outcomes across their 50 programs. Interested in predictive models for student success. Budget is modest but they want proof of value.","Send updated proposal with revised pricing by Monday. Schedule technical deep-dive with their engineering team. Follow up on reference request for Education customers.","Blackboard submitted a proposal at approximately 95k which is higher than our offering. Their weakness is limited AI capabilities. Our advantage is ease of use."
22,17,2024-01-20,Discovery Call,carlos.rivera,"Spoke with CTO about DevOps monitoring requirements. NovaTech needs unified observability across their microservices architecture. Currently running 200+ containers. Interested in our real-time analytics and alerting capabilities.","Prepare ROI analysis specific to their Engineering department. Coordinate demo of real-time dashboards with solution engineering. Send case study from similar Technology deployment.","HubSpot submitted a proposal at approximately 120k which is comparable than our offering. Their weakness is limited scalability. Our advantage is performance at scale."
23,20,2024-03-01,Discovery Call,rachel.sales,"Spoke with VP of Operations about patient analytics needs. Pinnacle Healthcare wants to reduce readmission rates through predictive modeling. They have data from 8 hospital facilities. Budget approved for analytics modernization initiative.","Send updated proposal with revised pricing by Friday. Schedule technical deep-dive with their engineering team. Follow up on reference request for Healthcare customers.","Cerner has been incumbent for 4 years but the customer is frustrated with poor customer support. This is our opportunity to demonstrate time-to-value."
24,20,2024-04-25,Technical Review,rachel.sales,"Technical deep-dive with Chief Data Officer's team. Reviewed HIPAA compliance architecture. They need data masking and audit logging capabilities. Our governance features exceed their requirements. POC environment provisioned.","Coordinate security review and compliance documentation. Set up data residency discussion with our platform team. Provide SOC 2 Type II report.",""
